id,category,question,answer
faq_044,coupon,取消订单后优惠券会退回吗？,如果订单取消成功，未过期且符合规则的优惠券通常会退回到账户。
faq_045,coupon,Where can I find my coupons?,You can find available coupons in your account coupon center or during checkout.
faq_046,membership,What benefits do members get?,"Member benefits may include exclusive discounts, coupons, faster support, and special promotions."
faq_047,membership,会员权益有哪些？,会员权益通常包括专属优惠券、会员价、积分奖励、优先客服等，具体以页面展示为准。
faq_048,membership,How do I upgrade my membership level?,"Membership level may be upgraded based on spending, points, or activity rules."
faq_049,membership,积分怎么使用？,积分可在支持的订单中抵扣金额或兑换权益，具体使用规则以积分页面为准。
faq_050,membership,Why did my points expire?,Points may expire if they are not used within the validity period stated in the membership rules.
faq_051,product,How can I check product specifications?,"Product specifications are listed on the product detail page, including size, material, model, and compatibility information."
faq_052,product,怎么查看商品规格？,你可以在商品详情页查看规格参数，包括尺寸、颜色、型号、材质和适用范围等。
faq_053,product,Is the product authentic?,Products sold by verified sellers or official stores are subject to platform authenticity and quality policies.
faq_054,product,商品和描述不一致怎么办？,如果收到的商品与页面描述明显不一致，请保留照片并提交售后申请。
faq_055,product,Can I ask questions before buying?,You can contact customer support or the seller before purchase if you need more product information.
faq_056,privacy,How is my personal information protected?,We use security measures to protect personal information and only use it according to our privacy policy.
faq_057,privacy,我的个人信息安全吗？,平台会按照隐私政策保护你的个人信息，并采取必要的安全措施防止信息泄露。
faq_058,privacy,Can customer support see my password?,No. Customer support cannot see your password. Never share your password or verification code with anyone.
faq_059,privacy,客服会向我要验证码吗？,正规客服不会要求你提供密码、完整银行卡信息或短信验证码，请勿泄露敏感信息。
faq_060,privacy,How can I report suspicious activity?,"If you notice suspicious account activity, change your password immediately and contact customer support."
